order_id,customer_id,order_status,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value,payment_sequential,payment_type,payment_installments,payment_value,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,customer_city,customer_state,seller_city,seller_state
49b689eeebb45115d1a871b368692412,0638bb7d39fcccf22a07b88db6686785,delivered,2017/9/26 3:49,2017/9/27 19:52,2017/10/19 21:13,2017/10/10 0:00,1,327fdf75bf08afa5ea0959ed59dab2ab,1da3aeb70d7989d1e6d9b0e887f97c23,2017/10/2 3:49,12.99,7.78,1,boleto,1,20.77,fashion_bolsas_e_acessorios,49,214,1,250,20,20,20,sao paulo,SP,sao paulo,SP
9e6928e55ec6948338048d72ebdf2305,d8f5acb57547935a0768faaefbd2ce58,delivered,2018/4/27 15:32,2018/4/27 15:08,2018/5/7 19:03,2018/5/29 0:00,1,5994a2fdff4b0f9ca4376c4226adb442,33a17d60c64393351ebf1ef860f4e0f2,2018/5/4 15:31,129.97,29.17,1,credit_card,5,159.14,utilidades_domesticas,42,464,4,8300,102,14,34,cachoeira paulista,SP,porto alegre,RS
a92232b41fcd16d21f69ff9d11648bbe,1eb56edd49bc10e943716ab0188dd6de,delivered,2017/12/5 13:53,2017/12/6 17:16,2017/12/19 23:56,2018/1/10 0:00,1,601a360bd2a916ecef0e88de72a6531a,7a67c85e85bb2ce8582c35f2203ad736,2017/12/11 13:53,129.99,20.15,1,credit_card,3,150.14,cool_stuff,33,897,1,1600,42,25,15,coribe,BA,sao paulo,SP
db021dc0eafd8de55256243118e4a046,4cd906a5d8555340aee749b3a3a3b5d5,delivered,2018/3/14 10:07,2018/3/16 20:17,2018/3/20 18:31,2018/4/2 0:00,1,ae083e4a334a4210ae0ef7323f1584c5,0df3984f9dfb3d49ac6366acbd3bbb85,2018/3/20 10:07,259.9,14.94,1,credit_card,7,274.84,beleza_saude,53,2789,1,250,19,7,12,alfenas,MG,betim,MG
fffb9224b6fc7c43ebb0904318b10b5f,4d3abb73ceb86353aeadbe698aa9d5cb,delivered,2017/10/28 2:55,2017/11/10 19:31,2017/11/17 19:41,2017/11/27 0:00,1,43423cdffde7fda63d0414ed38c11a73,b1fc4f64df5a0e8b6913ab38803c57a9,2017/11/3 2:55,55,34.19,1,boleto,1,356.76,relogios_presentes,41,1159,4,350,16,14,11,serra talhada,PE,sao goncalo,RJ
da0b8ba8e2730558871c2f9eb672e787,6e82a7813cfd686eca3f3d7ce6705d62,delivered,2018/8/13 22:50,2018/8/14 13:50,2018/8/17 19:41,2018/8/27 0:00,1,5360ece40f89cf47f68ec7353fb12d49,f7ccf836d21b2fb1de37564105216cc1,2018/8/15 22:50,39,19.46,1,credit_card,1,2.99,cama_mesa_banho,49,444,1,550,30,3,19,uberlandia,MG,ibitinga,SP
693264d23ad645c479b42deea5eceec0,aa72002446dfbac0691304465c1b982d,delivered,2017/2/14 4:15,2017/2/14 13:34,2017/2/17 15:12,2017/3/10 0:00,1,9a9f428eef4cf4c588633509b9fd1c5a,bd697db56ff8e7c9cd1abeb7f72029b2,2017/2/16 12:32,9.99,10.96,1,boleto,1,20.95,automotivo,49,640,1,1050,14,3,9,porto ferreira,SP,sao paulo,SP
ac4c31fcb560d160001849fc155285c3,dd11273e6cc22bcc6eb8258d902cb5bd,delivered,2018/1/16 18:31,2018/1/18 22:51,2018/1/26 21:07,2018/2/14 0:00,1,499152ec860819480e1b2d5598d1e29f,7142540dd4c91e2237acb7e911c4eba2,2018/1/22 18:31,69.9,25.33,2,voucher,1,38.75,automotivo,58,695,6,7075,56,11,32,morrinhos,GO,penapolis,SP
de727a3ecd5c174c519d64573cc0064b,27fe727389e4d6744b8a4d6fa58c9994,delivered,2017/8/19 19:15,2017/8/24 21:04,2017/9/6 20:16,2017/9/22 0:00,1,422879e10f46682990de24d770e7f83d,1f50f920176fa81dab994f9023523100,2017/8/24 19:15,59.9,17.67,1,credit_card,2,77.57,ferramentas_jardim,56,348,2,1550,30,22,30,soledade,RS,sao jose do rio preto,SP
cbaf66d6d9fb1524c6971baf9a6ae267,48044bf0c49a151d97d109b8e3fc83e2,delivered,2018/5/9 19:52,2018/5/10 12:56,2018/5/19 14:30,2018/6/7 0:00,1,409ec48108c4dad2130633a912fe877e,1900267e848ceeba8fa32d80c1a5f5a8,2018/5/15 19:52,40.99,19.32,1,credit_card,1,60.31,cama_mesa_banho,52,652,2,650,16,10,16,sapiranga,RS,ibitinga,SP
04ef688ecd44ca2621c3f78abfdf42f9,3a37dcd5837e170840e9bb335b8db8a2,delivered,2017/6/6 13:15,2017/6/7 12:47,2017/6/28 16:38,2017/7/11 0:00,1,7c1bd920dbdf22470b68bde975dd3ccf,cc419e0650a3c5ba77189a1882b7556a,2017/6/13 12:42,59.99,17.73,1,boleto,1,77.72,beleza_saude,59,492,2,200,22,10,18,fortaleza,CE,santo andre,SP
102f840f0c7fb82a5e0568624b41b3e5,d61912c15c5759cca29bdf28802d4f13,delivered,2018/6/11 10:58,2018/6/11 14:50,2018/7/16 16:42,2018/7/3 0:00,1,bacf2de8920bbcaf6f005a30d81391d2,fe2032dab1a61af8794248c8196565c9,2018/6/13 10:58,319,18.2,1,credit_card,6,337.2,perfumaria,54,389,1,481,21,14,19,brasilia,DF,campinas,SP
b6940503a9b26d72b8b41ae29a88e0d1,c60a729ffd1915e57d9ac6ef86553af9,delivered,2018/5/11 14:58,2018/5/15 14:52,2018/5/23 14:56,2018/6/6 0:00,1,16c4e87b98a9370a9cbc3a4658a3f45b,d23019c84ffae2d5ef2270367b8605fc,2018/5/17 14:58,1899,135.31,1,credit_card,10,2034.31,instrumentos_musicais,53,1935,1,18000,105,30,40,campo grande,MS,londrina,PR
862367d9dd9e80263c5b728d8c81b2a6,0dc4b36ad91ad58ad99d1b882176c7d5,delivered,2018/2/9 12:28,2018/2/16 16:29,2018/2/20 18:00,2018/3/5 0:00,3,53759a2ecddad2bb87a079a1f1519f73,1f50f920176fa81dab994f9023523100,2018/2/15 12:28,49.9,13.37,1,credit_card,8,316.35,ferramentas_jardim,58,340,2,1500,30,22,30,limeira,SP,sao jose do rio preto,SP
2e6d9b2e86ecc0efd34ab46632ef4448,d6ddffe6e681da24bc1e5d632224d497,delivered,2017/11/27 14:18,2018/1/4 22:53,2018/1/19 20:11,2017/12/22 0:00,1,f09f6223e88af7f6de46dec6a437458b,54965bbe3e4f07ae045b90b0b8541f52,2017/12/1 14:18,79.9,17.81,1,credit_card,4,97.71,cama_mesa_banho,44,729,1,1200,20,30,30,sarapui,SP,foz do iguacu,PR
2251c2ae48921e06fee59a7779d9bd47,35d15ec55b747200f78c492b3d9ddd72,delivered,2017/10/11 1:04,2017/10/16 19:22,2017/10/17 19:38,2017/10/23 0:00,1,62f68be290c2e9c8403e306bd023041c,e5a3438891c0bfdb9394643f95273d8e,2017/10/18 2:04,35.7,8.27,1,credit_card,1,3.86,fashion_bolsas_e_acessorios,41,52,1,200,16,2,11,campinas,SP,limeira,SP
